F0,F1,F2,F3,F4,F5,F6,F7,F8,Task1,Task2
31,33600,M,3.0,V,7000,7.14,0.21,N,0,A
29,136000,M,4.0,D,7775,14.96,0.06,Y,1,D
22,32400,M,6.0,E,3625,6.92,0.11,N,0,A
24,56000,R,2.0,E,10000,6.03,0.18,N,0,A
31,78000,M,6.0,V,8000,10.0,0.1,N,0,B
24,62000,R,7.0,E,3000,9.99,0.05,N,0,B
30,50000,R,2.0,V,6400,11.71,0.13,N,0,B
26,80000,M,6.0,M,2000,6.91,0.03,N,0,A
36,144000,M,0.0,P,7600,15.23,0.05,N,0,C
28,53000,R,11.0,H,5500,11.03,0.1,N,0,C
22,32484,M,6.0,H,6250,7.51,0.19,N,1,A
25,101424,R,6.0,P,2000,7.29,0.02,N,0,A
32,62900,R,6.0,M,16000,14.96,0.22,N,1,D
25,30000,R,0.0,M,4200,12.23,0.14,Y,0,C
23,63000,R,3.0,V,5400,14.54,0.09,N,0,D
32,86496,R,6.0,H,12000,11.71,0.14,N,0,B
39,55000,M,8.0,P,10000,5.42,0.18,N,0,A
40,54996,M,6.0,P,6000,9.76,0.11,N,1,B
22,88000,M,6.0,D,25000,18.09,0.28,N,1,F
27,23652,M,9.0,P,2000,7.49,0.08,N,0,A
24,12000,O,4.0,P,2500,12.69,0.21,N,1,B
21,19200,O,0.0,P,2400,9.91,0.13,N,0,B
28,35000,O,3.0,V,10400,11.71,0.3,N,0,B
22,53000,R,3.0,M,21250,10.25,0.4,N,1,B
27,32760,R,4.0,P,5000,15.21,0.15,Y,0,D
24,45000,R,8.0,M,3000,7.49,0.07,N,0,A
24,35000,R,4.0,M,1850,7.12,0.05,N,0,A
26,38400,R,0.0,M,12000,5.99,0.31,N,1,A
28,29496,R,8.0,E,4500,14.11,0.15,Y,0,D
22,75744,M,6.0,V,6700,11.83,0.09,N,0,B
23,95000,M,6.0,E,20000,14.17,0.21,Y,0,C
26,52000,M,10.0,H,10750,9.62,0.21,N,0,B
24,75000,M,7.0,E,8000,16.29,0.11,Y,0,D
23,41500,R,3.0,E,6000,16.7,0.14,N,1,E
23,65025,M,7.0,M,16000,14.35,0.21,N,1,C
21,24000,R,3.0,D,3200,13.57,0.13,N,0,C
24,55000,R,6.0,D,10000,8.94,0.18,N,0,A
22,78000,R,3.0,M,8000,13.79,0.1,Y,0,C
26,43000,R,1.0,M,8000,12.87,0.19,Y,0,C
23,54000,R,2.0,M,4200,10.99,0.08,N,1,B
31,98000,O,7.0,M,5000,15.96,0.05,Y,0,C
25,74000,O,1.0,V,16000,8.49,0.22,N,0,A
35,40000,R,3.0,V,7000,16.07,0.17,Y,0,D
26,130000,M,2.0,M,18000,7.9,0.14,N,0,A
25,44000,M,7.0,H,5000,7.4,0.11,N,0,A
27,42000,M,0.0,H,4200,6.76,0.1,N,0,A
32,45000,R,3.0,E,3000,12.61,0.07,Y,0,C
28,70000,O,4.0,P,25000,15.57,0.36,N,0,D
22,19200,M,6.0,H,1400,14.91,0.07,Y,1,D
23,65000,M,5.0,E,4000,11.49,0.06,N,0,B
29,96050,M,7.0,M,15200,13.85,0.13,Y,1,C
22,65000,M,2.0,V,10000,11.11,0.15,N,0,B
26,238000,M,2.0,E,25000,9.25,0.11,N,1,B
29,102400,R,2.0,H,2000,8.88,0.02,N,0,B
31,74628,M,12.0,D,15000,12.99,0.2,N,0,C
25,75000,R,9.0,D,25000,10.36,0.33,N,1,B
38,74000,R,21.0,D,4000,11.26,0.05,N,0,B
27,61584,R,3.0,V,15000,15.21,0.24,N,0,D
30,45000,R,2.0,E,13250,7.9,0.29,N,0,A
22,89250,M,3.0,M,25000,12.53,0.24,N,1,B
32,38400,O,4.0,M,2400,9.99,0.06,N,0,B
26,88900,O,2.0,P,5000,11.83,0.06,N,0,B
26,35960,R,10.0,M,8400,11.49,0.23,N,0,B
22,112000,M,2.0,P,4000,8.9,0.04,N,0,A
24,85000,O,2.0,E,27500,11.99,0.32,N,0,B
27,60000,R,2.0,V,9200,12.42,0.15,N,0,B
34,90000,M,15.0,V,15000,6.99,0.17,N,0,A
26,30000,R,1.0,E,4200,16.49,0.14,N,1,D
30,126000,M,6.0,V,8000,10.74,0.06,N,0,B
27,42000,R,7.0,D,5000,5.42,0.12,N,0,A
21,18000,R,2.0,P,4500,10.38,0.25,N,1,B
23,95000,R,0.0,E,14000,12.69,0.15,N,0,B
23,45000,R,2.0,P,11200,10.59,0.25,N,0,B
27,390000,M,11.0,P,10000,11.26,0.03,N,0,B
23,60996,R,2.0,P,4200,15.58,0.07,N,1,D
22,60000,R,6.0,M,15000,13.35,0.25,Y,0,C
31,50000,M,5.0,V,2000,6.39,0.04,N,0,A
24,60000,R,2.0,M,5000,13.99,0.08,Y,0,C
27,40000,R,4.0,E,6125,13.23,0.15,Y,0,C
37,35000,R,5.0,M,4000,9.32,0.11,N,1,A
36,120000,M,11.0,M,30000,6.62,0.25,N,0,A
23,95000,R,2.0,E,20000,10.99,0.21,N,0,B
22,34900,M,4.0,D,3600,15.7,0.1,N,1,D
25,89100,R,9.0,V,2000,13.49,0.02,Y,0,C
22,60000,M,6.0,P,12900,11.14,0.21,N,0,B
25,45000,O,1.0,P,10000,12.87,0.22,Y,0,C
28,75000,R,7.0,D,3000,7.68,0.04,N,0,A
26,100000,R,5.0,P,24000,12.73,0.24,N,0,C
22,75000,R,4.0,P,12000,11.49,0.16,N,0,B
22,44000,M,6.0,M,5000,5.42,0.11,N,1,A
24,35000,R,7.0,E,3500,6.99,0.1,N,0,A
26,75000,M,3.0,V,3500,12.99,0.05,Y,0,C
27,50000,R,7.0,D,5000,13.61,0.1,Y,0,C
22,15000,R,6.0,M,6000,6.03,0.4,N,1,A
23,42000,M,1.0,P,5750,13.57,0.14,N,0,C
25,38400,R,5.0,M,2200,12.69,0.06,N,0,B
26,50000,O,5.0,M,3250,7.51,0.07,N,0,A
39,50000,R,5.0,P,5500,6.54,0.11,N,0,A
24,140000,R,0.0,H,10000,11.14,0.07,N,0,B
35,28000,O,3.0,V,7600,6.62,0.27,N,0,A
24,90000,R,0.0,D,15000,7.9,0.17,N,0,A
21,45000,R,3.0,M,9600,12.18,0.21,N,0,B
25,52000,R,0.0,H,2400,7.88,0.05,N,0,A
22,62000,M,6.0,E,1500,6.91,0.02,N,0,A
35,38420,R,0.0,E,2575,15.96,0.07,Y,1,C
24,80000,R,6.0,E,25000,6.62,0.31,N,1,A
47,95000,M,13.0,E,5000,6.03,0.05,N,0,A
23,55000,M,5.0,P,7750,6.17,0.14,N,0,A
43,60000,M,2.0,M,9250,5.79,0.15,N,0,A
30,185000,M,8.0,V,15000,10.99,0.08,N,0,B
30,30809,R,1.0,E,11200,11.99,0.36,N,1,B
24,100000,R,1.0,P,10200,12.99,0.1,Y,0,C
23,55000,R,1.0,V,6800,11.49,0.12,N,0,B
24,55000,R,5.0,D,8500,9.88,0.15,N,0,B
21,60000,R,3.0,M,10000,12.18,0.17,N,0,B
24,78956,R,5.0,M,35000,11.11,0.44,N,1,B
29,42000,R,6.0,D,3500,12.67,0.08,N,1,D
26,72000,M,7.0,V,16000,10.59,0.22,N,0,B
21,35004,M,1.0,V,3600,8.0,0.1,N,0,A
36,90000,R,7.0,P,30000,15.99,0.33,Y,1,D
37,45000,R,1.0,D,9000,11.71,0.2,N,1,B
29,86028,M,4.0,H,25000,16.82,0.29,N,0,E
22,21000,R,0.0,E,2000,14.22,0.1,Y,0,C
24,120000,M,5.0,P,16000,6.99,0.13,N,0,A
22,42500,M,6.0,M,7000,15.57,0.16,Y,1,E
24,98004,M,5.0,H,2500,8.49,0.03,N,1,A
22,35000,M,6.0,P,7500,11.34,0.21,Y,0,C
29,68000,R,9.0,V,14000,12.61,0.21,Y,0,C
24,30960,R,5.0,M,3000,15.62,0.1,N,0,D
29,46000,M,3.0,H,7500,14.35,0.16,Y,0,C
27,80000,M,1.0,D,20000,11.36,0.25,N,0,B
30,250000,O,8.0,M,15000,15.99,0.06,Y,0,D
23,60000,R,3.0,P,12000,9.63,0.2,N,0,A
39,48000,R,4.0,M,20500,14.59,0.43,N,1,D
22,39396,M,1.0,E,5000,6.62,0.13,N,0,A
25,56000,R,1.0,P,6000,10.74,0.11,N,0,B
23,114600,M,7.0,P,10000,13.06,0.09,Y,0,C
22,40000,M,3.0,D,7500,11.49,0.19,N,0,B
27,98500,R,5.0,H,7200,14.35,0.07,Y,0,C
25,53000,R,3.0,M,7500,12.92,0.14,N,1,D
26,60000,M,6.0,E,9000,6.91,0.15,N,0,A
25,50000,R,5.0,M,7200,7.29,0.14,N,0,A
43,33000,R,0.0,D,6000,15.62,0.18,N,1,D
25,81600,M,9.0,E,13000,13.23,0.16,Y,0,C
30,105000,M,14.0,H,13000,10.25,0.12,N,0,B
30,108000,M,14.0,H,5000,10.99,0.05,N,0,B
24,85000,M,4.0,M,7750,11.12,0.09,N,0,B
36,74000,M,9.0,E,1500,10.62,0.02,N,0,B
29,34000,R,13.0,M,2000,14.72,0.06,Y,0,C
30,44000,R,4.0,D,15000,6.54,0.34,N,1,A
23,100000,M,2.0,V,14000,6.17,0.14,N,0,A
23,55000,R,2.0,V,3000,9.88,0.05,N,0,B
24,27000,M,1.0,D,7500,10.39,0.28,N,0,B
24,145000,M,0.0,H,7000,10.99,0.05,N,0,B
33,43000,M,4.0,H,10000,13.35,0.23,Y,0,C
23,50000,R,6.0,E,6400,20.2,0.13,N,0,E
23,39600,M,7.0,M,6000,7.88,0.15,N,0,A
24,75600,M,5.0,V,7200,5.99,0.1,N,0,A
32,48000,R,15.0,V,3600,6.92,0.07,N,0,A
22,58896,M,6.0,P,9500,6.76,0.16,N,0,A
21,34000,R,0.0,E,10000,13.61,0.29,Y,0,C
43,46000,R,3.0,E,5000,10.38,0.11,N,1,B
40,45996,R,4.0,D,20000,14.61,0.43,Y,1,D
31,50000,R,3.0,P,10500,6.17,0.21,N,0,A
39,17760,O,0.0,M,4375,5.42,0.25,N,1,A
24,140000,M,7.0,H,20000,6.54,0.14,N,0,A
22,49000,R,7.0,P,7500,6.62,0.15,N,0,A
26,51000,M,2.0,V,12000,6.17,0.24,N,0,A
26,34320,R,2.0,E,9000,6.62,0.26,N,1,A
24,70000,M,9.0,D,12000,11.36,0.17,N,0,B
23,18000,R,1.0,V,3250,13.22,0.18,N,1,C
28,61000,M,12.0,P,12000,6.03,0.2,N,0,A
24,79650,R,4.0,P,6000,16.35,0.08,Y,1,E
22,28000,M,1.0,D,10750,11.14,0.38,N,0,B
27,44000,M,3.0,E,6400,13.85,0.15,Y,0,C
27,44000,M,0.0,E,6000,13.23,0.14,Y,1,C
23,25000,M,4.0,M,5000,9.32,0.2,N,0,A
31,134748,M,15.0,V,18000,10.74,0.13,N,0,B
23,33000,R,7.0,P,5500,14.54,0.17,Y,0,D
24,51600,R,1.0,H,3000,12.68,0.06,Y,0,C
22,96000,M,6.0,E,9000,7.49,0.09,N,0,A
24,250000,R,2.0,E,18000,12.98,0.07,Y,0,C
22,30000,R,1.0,D,6400,16.0,0.21,N,1,E
33,25200,R,1.0,V,13250,7.66,0.53,N,1,A
25,110000,M,7.0,D,8400,12.69,0.08,N,0,B
22,79000,M,6.0,M,10375,6.62,0.13,N,0,A
25,96000,R,3.0,V,12000,11.99,0.13,N,0,B
31,78996,M,2.0,E,15600,12.53,0.2,N,1,B
22,44000,M,4.0,M,16000,14.74,0.36,Y,1,D
23,58000,M,3.0,D,5000,7.14,0.09,N,0,A
22,44000,R,5.0,H,15000,11.11,0.34,N,1,B
25,65004,R,10.0,M,2500,10.08,0.04,N,0,B
26,41000,M,5.0,P,8000,6.03,0.2,N,0,A
22,27000,R,6.0,D,5000,9.32,0.19,N,0,A
21,36000,R,3.0,E,18500,10.91,0.51,N,1,C
24,22000,R,0.0,D,2500,9.76,0.11,N,0,B
42,64000,M,0.0,D,2300,6.99,0.04,N,0,A
22,52800,M,6.0,P,7000,6.76,0.13,N,0,A
22,26004,M,6.0,P,12000,7.88,0.46,N,1,A
24,113000,R,3.0,V,16000,11.99,0.14,N,0,B
31,36000,R,4.0,E,12000,10.36,0.33,N,1,B
25,58650,M,4.0,M,20000,14.09,0.29,Y,1,D
31,39000,M,0.0,H,12000,13.3,0.31,N,1,D
24,31000,R,8.0,V,13500,13.43,0.44,Y,1,C
22,20000,O,1.0,V,5000,14.72,0.25,N,0,C
24,46180,R,1.0,V,2500,13.98,0.05,Y,1,C
23,33000,R,4.0,E,10000,11.99,0.3,N,0,B
32,47000,R,2.0,E,8000,8.59,0.17,N,0,A
37,42000,M,9.0,E,4500,12.99,0.11,N,0,C
29,61000,M,9.0,H,15000,9.88,0.25,N,1,B
23,39200,R,1.0,E,2500,7.74,0.06,N,0,A
66,42000,R,2.0,M,6475,9.99,0.15,N,0,B
27,49000,R,11.0,M,4000,10.59,0.08,N,0,B
22,100000,M,0.0,P,15000,13.85,0.15,Y,0,C
24,61193,M,5.0,E,6400,8.59,0.1,N,0,A
36,14004,R,0.0,M,4800,15.28,0.34,N,1,D
23,50000,R,7.0,P,15000,7.88,0.3,N,0,A
24,41300,R,2.0,E,2400,12.68,0.06,N,0,C
26,53000,R,4.0,E,6800,9.91,0.13,N,0,B
30,85000,R,5.0,P,4200,5.99,0.05,N,0,A
26,54000,R,3.0,M,16800,12.67,0.31,Y,1,D
30,42600,R,13.0,V,12000,11.71,0.28,N,0,B
24,41280,R,3.0,V,11000,15.28,0.27,N,0,D
25,63000,R,9.0,H,5000,10.74,0.08,N,0,B
23,60000,M,5.0,P,15000,15.21,0.25,Y,0,D
29,39000,R,2.0,P,6000,12.69,0.15,N,1,B
22,30000,R,0.0,V,6300,13.22,0.21,Y,0,C
28,52828,M,6.0,M,14500,7.29,0.27,N,0,A
23,60000,R,3.0,V,10400,14.91,0.17,Y,0,D
22,30000,R,6.0,D,10000,10.37,0.33,N,1,B
22,69500,M,6.0,V,6000,13.48,0.09,Y,0,C
27,70800,M,0.0,E,20000,21.21,0.28,Y,1,G
21,47208,R,2.0,P,3000,13.92,0.06,Y,0,C
33,37000,M,2.0,P,13000,10.36,0.35,N,0,B
25,43200,R,3.0,P,3000,13.8,0.07,Y,0,C
33,30000,R,11.0,M,2000,7.29,0.07,N,0,A
22,48000,M,4.0,P,6500,6.17,0.14,N,0,A
24,52000,O,8.0,E,4000,10.62,0.08,N,0,B
29,55000,O,4.0,V,10000,11.36,0.18,N,0,B
24,135000,M,8.0,V,5225,7.49,0.04,N,0,A
26,24000,R,5.0,V,4500,5.79,0.19,N,0,A
32,36000,O,3.0,E,5000,10.0,0.14,N,0,B
32,75000,R,2.0,P,7000,12.61,0.09,N,0,C
24,29000,R,0.0,D,6250,10.99,0.22,N,0,B
22,40000,R,1.0,E,2400,12.73,0.06,Y,0,C
26,132000,M,3.0,P,2000,7.51,0.02,N,0,A
50,76500,R,1.0,P,20000,11.99,0.26,N,0,B
22,32000,R,5.0,M,4500,9.63,0.14,N,1,A
27,64800,R,3.0,V,8000,13.49,0.12,N,0,C
35,20800,O,2.0,M,7000,10.62,0.34,N,0,B
32,348000,M,16.0,M,25000,11.83,0.07,N,0,B
30,75000,R,6.0,M,11200,13.16,0.15,Y,0,C
38,55000,M,16.0,E,11700,7.66,0.21,N,0,A
28,76992,M,8.0,E,1800,12.18,0.02,N,0,B
25,33600,R,9.0,D,6000,15.58,0.18,Y,1,D
24,19200,R,2.0,E,1000,12.53,0.05,N,0,B
27,33000,R,11.0,H,1600,16.89,0.05,Y,1,D
22,15360,O,7.0,H,2500,12.53,0.16,N,1,B
33,21000,O,1.0,H,7750,11.83,0.37,N,0,B
22,83004,M,6.0,E,24000,7.88,0.29,N,0,A
36,50400,M,7.0,H,12700,7.29,0.25,N,0,A
28,77385,R,3.0,M,6000,7.66,0.08,N,0,A
33,106000,M,2.0,E,6000,8.49,0.06,N,0,A
21,29000,R,5.0,D,11325,9.91,0.39,N,1,B
22,38000,M,5.0,E,4800,9.99,0.13,N,0,B
38,24000,R,0.0,H,4400,14.09,0.18,N,1,D
23,120000,M,3.0,M,30000,11.49,0.25,N,0,B
24,12480,R,1.0,V,7350,6.92,0.59,N,1,A
24,99996,M,5.0,M,10000,13.61,0.1,Y,0,C
30,148000,R,8.0,V,10000,13.55,0.07,N,0,D
30,60000,M,2.0,P,10000,12.69,0.17,N,0,B
24,110000,M,7.0,D,12000,8.94,0.11,N,0,A
24,118000,R,5.0,H,7000,8.49,0.06,N,0,A
35,51000,R,5.0,E,5000,12.98,0.1,Y,0,C
22,54000,M,4.0,E,5000,15.62,0.09,N,0,D
38,96000,M,0.0,P,1500,14.26,0.02,N,0,C
24,77350,M,2.0,D,4800,13.79,0.06,Y,0,C
34,148080,R,0.0,H,20000,8.9,0.14,N,0,A
41,75000,R,15.0,P,4000,16.29,0.05,Y,0,D
40,53000,R,2.0,M,3000,9.32,0.06,N,0,A
25,30000,O,4.0,E,10000,14.61,0.33,N,0,D
30,30000,R,4.0,H,6500,15.65,0.22,Y,1,D
24,42000,R,2.0,H,4000,12.73,0.1,Y,1,C
23,36000,R,2.0,V,17500,14.22,0.49,N,1,C
29,67992,M,0.0,V,2000,7.43,0.03,N,0,A
22,41000,M,6.0,E,10000,13.57,0.24,N,1,C
36,141600,M,4.0,H,6000,11.49,0.04,N,0,B
23,54000,M,7.0,M,13500,9.63,0.25,N,0,A
34,38000,M,12.0,D,12775,9.91,0.34,N,0,B
22,160000,R,0.0,V,10000,8.94,0.06,N,0,A
25,75000,O,6.0,M,11000,8.49,0.15,N,0,A
22,34800,R,6.0,V,15000,14.27,0.43,Y,1,C
25,181408,M,2.0,M,14500,8.88,0.08,N,0,B
23,85000,R,0.0,D,7175,7.49,0.08,N,0,A
26,20000,R,9.0,E,6200,5.99,0.31,N,1,A
30,36000,R,2.0,E,6400,10.59,0.18,N,0,B
23,49161,R,1.0,H,8000,13.17,0.16,Y,1,D
22,59000,R,2.0,E,11000,10.74,0.19,N,0,B
23,95000,M,7.0,P,6000,7.68,0.06,N,0,A
24,100000,M,6.0,V,25000,15.33,0.25,Y,0,D
30,36933,R,2.0,P,5000,11.91,0.14,Y,0,C
23,75000,M,7.0,V,5400,12.69,0.07,N,0,B
25,50000,M,4.0,D,6000,6.76,0.12,N,0,A
43,400000,M,5.0,H,28000,9.91,0.07,N,0,B
27,31200,M,3.0,P,3600,11.48,0.12,N,0,B
29,57300,O,13.0,M,12000,11.48,0.21,N,0,B
22,44000,R,3.0,D,12000,11.86,0.27,N,1,B
32,45000,R,0.0,E,5600,11.36,0.12,N,0,B
24,62400,M,8.0,P,4000,8.9,0.06,N,0,A
28,72000,R,2.0,M,7000,11.49,0.1,N,0,B
26,108000,M,4.0,P,9000,5.79,0.08,N,0,A
35,73000,R,9.0,V,14000,14.59,0.19,Y,0,D
38,81000,O,4.0,E,7000,9.99,0.09,N,0,B
28,40000,R,2.0,P,7000,8.59,0.17,N,0,A
40,182004,M,7.0,H,25000,16.07,0.14,Y,0,D
25,61440,R,9.0,V,8000,10.36,0.13,N,0,B
26,60000,R,10.0,V,17500,6.54,0.29,N,0,A
25,120000,R,2.0,V,32000,6.62,0.27,N,0,A
21,192000,M,123.0,V,20000,6.54,0.1,N,0,A
32,54000,M,3.0,D,12000,7.66,0.22,N,0,A
23,18720,R,2.0,E,4000,15.62,0.21,N,1,D
34,43920,R,2.0,D,16400,11.03,0.37,Y,1,C
30,36000,M,8.0,P,5000,8.88,0.14,N,0,B
24,51000,R,6.0,M,15000,11.12,0.29,N,0,B
28,100000,M,3.0,E,8000,13.98,0.08,Y,0,C
22,20000,R,7.0,E,1675,7.74,0.08,N,0,A
23,130000,M,7.0,E,20000,10.62,0.15,N,0,B
22,46000,R,1.0,M,12000,12.84,0.26,N,0,C
26,66000,O,0.0,H,18000,13.49,0.27,Y,0,C
22,57175,R,6.0,H,16000,17.15,0.28,N,1,F
22,65000,R,2.0,E,10000,9.88,0.15,N,0,B
35,30000,R,0.0,M,6475,5.42,0.22,N,0,A
22,52650,M,1.0,D,19200,17.26,0.36,N,1,F
25,52000,R,9.0,E,16000,13.98,0.31,N,1,C
26,75000,M,4.0,D,21000,11.48,0.28,N,0,B
22,75000,M,6.0,V,25000,15.57,0.33,Y,1,D
25,92000,R,6.0,H,25000,12.69,0.27,N,0,B
23,24000,R,2.0,M,2800,11.49,0.12,N,1,B
24,37000,M,7.0,D,6250,7.14,0.17,N,1,A
27,56000,R,5.0,H,20000,12.18,0.36,N,1,B
21,25000,R,1.0,E,7000,12.69,0.28,N,0,B
26,155000,M,4.0,M,18000,6.99,0.12,N,0,A
24,54996,R,0.0,M,12500,12.87,0.23,N,0,C
23,37000,M,2.0,E,10000,7.74,0.27,N,0,A
23,62400,R,0.0,D,10000,12.87,0.16,Y,0,C
23,51319,M,2.0,V,20000,10.37,0.39,N,0,B
33,75000,O,17.0,P,6000,7.68,0.08,N,0,A
37,120996,M,14.0,H,4000,7.66,0.03,N,0,A
22,160000,R,6.0,P,20000,7.49,0.13,N,0,A
39,44000,M,14.0,P,2500,7.68,0.06,N,0,A
26,75000,R,2.0,P,9600,10.0,0.13,N,0,B
35,98320,M,15.0,P,10425,11.49,0.11,N,0,B
24,37200,R,8.0,D,7200,7.9,0.19,N,0,A
32,106000,R,14.0,D,25000,16.63,0.24,Y,1,E
